mid,mname,days,lati,long,cid
430,Satara,1037,17.69139,74.00092,44
798,Vasai,427,19.391927499999998,72.8397317,44
424,Junnar(Otur),283,19.2,73.88,44
655,Palthan,360,19.477690600000003,75.3849382,44
155,Pune(Hadapsar),153,18.5204303,73.85674370000001,44
1551,Karjat(Rashin),7,18.9192249,73.3277223,44
162,Vashi New Mumbai,1152,19.077064399999998,72.9989925,44
505,Lonand,617,18.041706,74.1861821,44
378,Khed(Chakan),251,17.7195516,73.39681359999999,44
1367,Ghoti,184,19.440431,73.8801301,44
930,Junnar(Alephata),169,19.2,73.88,44
1365,Vaduj,30,17.593548000000002,74.4510972,44
854,Newasa,51,19.5511772,74.9281063,44
720,Shrirampur,649,19.619548,74.66033900000001,44
157,Rahuri,715,19.392678,74.6488264,44
602,Maanachar,350,19.002237,73.9506774,44
1169,Jawali,19,17.879715899999997,74.5902635,44
149,Nandgaon,968,18.3855337,72.9276008,44
544,Ulhasnagar,396,19.2215115,73.16446280000001,44
143,Gangapur,284,19.697525199999998,75.0105028,44
375,Ahmednagar,400,19.0952075,74.7495916,44
150,Nasik,1354,19.9974533,73.78980229999999,44
838,Pune(Pimpri),943,18.5204303,73.85674370000001,44
426,Newasa(Ghodegaon),751,19.5511772,74.9281063,44
153,Pathardi,685,19.17,75.18,44
905,Jamkhed,162,18.7380109,75.312064,44
537,Lasur Station,235,19.926761600000003,75.0107765,44
1428,Khed,8,17.7195516,73.39681359999999,44
163,Yeola,1855,20.042,74.48899999999999,44
1377,Rahuri(Songaon),1,19.392678,74.6488264,44
377,Baramati,266,18.15,74.58,44
429,Sangamner,629,19.5771387,74.2079648,44
156,Pune(Khadiki),2044,18.5204303,73.85674370000001,44
1190,Fruit Market,11,19.073728,73.00826500000001,44
423,Junnar,653,19.2,73.88,44
428,Rahata,587,19.716667,74.483333,44
939,Koregaon,119,17.696635399999998,74.1607179,44
1041,Karmala,9,18.404483300000003,75.1953934,44
427,Pune,1987,18.5204303,73.85674370000001,44
422,Akole,388,19.5406298,74.00542800000001,44
146,Lasalgaon,1611,20.15,74.24,44
474,Lasalgaon(Niphad),1069,20.15,74.24,44
792,Pen,25,18.734888,73.09660190000001,44
853,Nashik(Devlali),160,19.9974533,73.78980229999999,44
862,Kopargaon,542,19.8916791,74.4790898,44
160,Sinner,1281,19.85,74.0,44
477,Rahuri(Vambori),388,19.392678,74.6488264,44
540,Parner,468,19.003,74.438,44
937,Indapur,181,18.12,75.03,44
144,Kalvan,622,18.2913574,73.2735875,44
769,Bhivandi,255,19.281254699999998,73.0482912,44
425,Kada,389,18.896108899999998,75.08155570000001,44
476,Palghar,435,19.6935581,72.7655184,44
897,Vaijpur,131,19.9256818,74.7284812,44
502,Kalyan,671,19.2403305,73.1305395,44
1029,Karjat(Raigad),5,18.9192249,73.3277223,44
1058,Washi(Thane Market),7,18.542222,75.778889,44
1249,Shrigonda,12,18.617543899999998,74.6981267,44
1378,Alibagh,12,18.6553938,72.8670819,44
148,Mumbai,1951,19.0759837,72.87765590000001,44
