arrival,date,mid,price
4.5,2006-01-02 00:00:00,31,475
5.1,2006-01-03 00:00:00,31,500
5,2006-01-04 00:00:00,31,550
5.2,2006-01-05 00:00:00,31,450
4,2006-01-06 00:00:00,31,487.5
2.8,2006-01-07 00:00:00,31,525
3.5,2006-01-08 00:00:00,31,462.5
4.2,2006-01-09 00:00:00,31,400
4.2,2006-01-10 00:00:00,31,450
4.35,2006-01-11 00:00:00,31,425
4.5,2006-01-12 00:00:00,31,400
4.2,2006-01-13 00:00:00,31,425
4.2286634461,2006-01-14 00:00:00,31,425
4.3017713366,2006-01-15 00:00:00,31,425
4.4,2006-01-16 00:00:00,31,425
4.9,2006-01-17 00:00:00,31,460
4.5,2006-01-18 00:00:00,31,425
5,2006-01-19 00:00:00,31,400
5,2006-01-20 00:00:00,31,400
5,2006-01-21 00:00:00,31,400
5.1,2006-01-22 00:00:00,31,375
5.2,2006-01-23 00:00:00,31,350
4.8,2006-01-24 00:00:00,31,350
5.3,2006-01-25 00:00:00,31,350
4.95,2006-01-26 00:00:00,31,325
4.6,2006-01-27 00:00:00,31,300
4.6625,2006-01-28 00:00:00,31,300
4.8,2006-01-29 00:00:00,31,300
4.9375,2006-01-30 00:00:00,31,300
5,2006-01-31 00:00:00,31,300
4.9,2006-02-01 00:00:00,31,350
4.7123993559,2006-02-02 00:00:00,31,337.037037037
4.5006441224,2006-02-03 00:00:00,31,312.962962963
4.4,2006-02-04 00:00:00,31,300
4.775,2006-02-05 00:00:00,31,305
5.4,2006-02-06 00:00:00,31,310
5.9,2006-02-07 00:00:00,31,310
5.8,2006-02-08 00:00:00,31,310
5.8148148148,2006-02-09 00:00:00,31,310
5.8518518519,2006-02-10 00:00:00,31,310
5.9,2006-02-11 00:00:00,31,310
5.9481481481,2006-02-12 00:00:00,31,310
5.9851851852,2006-02-13 00:00:00,31,310
6,2006-02-14 00:00:00,31,310
5.925,2006-02-15 00:00:00,31,317.5
5.8,2006-02-16 00:00:00,31,325
5.7,2006-02-17 00:00:00,31,325
5.8814814815,2006-02-18 00:00:00,31,326.2962962963
6.2185185185,2006-02-19 00:00:00,31,328.7037037037
6.4,2006-02-20 00:00:00,31,330
6.2,2006-02-21 00:00:00,31,325
6.5,2006-02-22 00:00:00,31,325
6.2,2006-02-23 00:00:00,31,300
5,2006-02-24 00:00:00,31,335
5,2006-02-25 00:00:00,31,325
4.96875,2006-02-26 00:00:00,31,320.78125
4.9,2006-02-27 00:00:00,31,317.5
4.83125,2006-02-28 00:00:00,31,314.21875
4.8,2006-03-01 00:00:00,31,310
4.8,2006-03-02 00:00:00,31,300
4.8,2006-03-03 00:00:00,31,300
4.8,2006-03-04 00:00:00,31,300
4.8,2006-03-05 00:00:00,31,300
4.8,2006-03-06 00:00:00,31,300
5.2,2006-03-07 00:00:00,31,300
4.8,2006-03-08 00:00:00,31,300
5.4,2006-03-09 00:00:00,31,250
5.9,2006-03-10 00:00:00,31,275
5.7,2006-03-11 00:00:00,31,250
5.6525337838,2006-03-12 00:00:00,31,262.5
5.6,2006-03-13 00:00:00,31,275
4.9,2006-03-14 00:00:00,31,275
4.8287162162,2006-03-15 00:00:00,31,262.5
4.8,2006-03-16 00:00:00,31,250
5.8,2006-03-17 00:00:00,31,300
6,2006-03-18 00:00:00,31,300
6.0928774929,2006-03-19 00:00:00,31,306.4814814815
6.1686609687,2006-03-20 00:00:00,31,318.5185185185
6.2,2006-03-21 00:00:00,31,325
5.9,2006-03-22 00:00:00,31,250
6.2,2006-03-23 00:00:00,31,275
5.8,2006-03-24 00:00:00,31,262.5
5.4,2006-03-25 00:00:00,31,250
5.6,2006-03-26 00:00:00,31,275
5.8,2006-03-27 00:00:00,31,300
5.8,2006-03-28 00:00:00,31,300
5.3,2006-03-29 00:00:00,31,300
5.739516129,2006-03-30 00:00:00,31,300
6.3,2006-03-31 00:00:00,31,300
6.5371565114,2006-04-01 00:00:00,31,300
6.7241338112,2006-04-02 00:00:00,31,300
6.8,2006-04-03 00:00:00,31,300
5.7,2006-04-04 00:00:00,31,325
5.2753623188,2006-04-05 00:00:00,31,308.1481481481
4.9376811594,2006-04-06 00:00:00,31,276.8518518519
4.8,2006-04-07 00:00:00,31,260
5.4,2006-04-08 00:00:00,31,300
5.5901353491,2006-04-09 00:00:00,31,300
5.7324414119,2006-04-10 00:00:00,31,300
5.9,2006-04-11 00:00:00,31,300
6.2,2006-04-12 00:00:00,31,300
6.2,2006-04-13 00:00:00,31,300
6.2,2006-04-14 00:00:00,31,300
6.2,2006-04-15 00:00:00,31,300
6.2,2006-04-16 00:00:00,31,300
6.2,2006-04-17 00:00:00,31,300
6,2006-04-18 00:00:00,31,300
5.8,2006-04-19 00:00:00,31,300
5.3,2006-04-20 00:00:00,31,300
5.7,2006-04-21 00:00:00,31,300
5.7498959634,2006-04-22 00:00:00,31,293.5185185185
