date,BHUBANESHWAR,DELHI,LUCKNOW,MUMBAI,PATNA
2006-01-01,900,1100,900,900,1100
2006-01-02,900,1100,900,900,1100
2006-01-03,900,1000,900,900,1100
2006-01-04,900,900,900,1000,1100
2006-01-05,900,1000,700,1000,1100
2006-01-06,900,900,700,1000,1100
2006-01-07,900,900,700,1000,1100
2006-01-08,900,900,700,1000,1100
2006-01-09,900,900,700,1000,1100
2006-01-10,900,900,700,1000,1100
2006-01-11,900,900,700,1000,1100
2006-01-12,900,900,700,1000,1100
2006-01-13,900,900,700,1000,1100
2006-01-14,848.148148148,900,700,1000,1100
2006-01-15,751.851851852,900,700,1000,1100
2006-01-16,700,900,700,1000,1100
2006-01-17,700,900,700,1000,1100
2006-01-18,700,900,700,1000,1100
2006-01-19,700,900,700,1000,1100
2006-01-20,700,900,700,1000,1100
2006-01-21,700,900,700,1000,1100
2006-01-22,700,900,700,1000,1100
2006-01-23,700,900,700,1000,1100
2006-01-24,700,800,700,900,1100
2006-01-25,700,800,700,900,1100
2006-01-26,700,800,700,900,1100
2006-01-27,700,800,700,900,1100
2006-01-28,700,800,700,900,1100
2006-01-29,700,800,700,900,1100
2006-01-30,700,800,700,900,1100
2006-01-31,700,700,600,900,1100
2006-02-01,700,700,600,900,1100
2006-02-02,700,700,600,900,1100
2006-02-03,700,700,600,900,1100
2006-02-04,700,700,600,874.074074074,1100
2006-02-05,700,700,600,825.925925926,1100
2006-02-06,700,700,600,800,1100
2006-02-07,700,700,500,800,900
2006-02-08,700,700,500,600,700
2006-02-09,650,700,500,600,700
2006-02-10,600,700,500,600,700
2006-02-11,600,700,500,600,700
2006-02-12,600,700,500,600,700
2006-02-13,600,700,500,600,700
2006-02-14,600,700,500,600,700
2006-02-15,600,700,500,600,700
2006-02-16,600,700,500,600,700
2006-02-17,600,700,500,600,700
2006-02-18,600,700,500,600,700
2006-02-19,600,700,500,600,700
2006-02-20,600,700,500,600,700
2006-02-21,600,700,500,600,700
2006-02-22,700,700,500,600,700
2006-02-23,700,700,500,600,700
2006-02-24,700,700,500,600,700
2006-02-25,700,700,500,600,700
2006-02-26,700,700,500,600,700
2006-02-27,700,700,500,600,700
2006-02-28,700,700,700,600,700
2006-03-01,700,800,700,600,700
2006-03-02,700,700,700,700,700
2006-03-03,700,800,700,600,700
2006-03-04,700,800,700,600,700
2006-03-05,700,800,700,600,700
2006-03-06,700,800,700,600,700
2006-03-07,700,800,700,600,700
2006-03-08,700,700,700,600,700
2006-03-09,700,700,700,500,700
2006-03-10,700,700,700,500,700
2006-03-11,700,700,674.074074074,500,648.148148148
2006-03-12,700,700,625.925925926,500,551.851851852
2006-03-13,700,700,600,500,500
2006-03-14,700,700,600,500,500
2006-03-15,700,750,600,500,500
2006-03-16,700,800,600,500,500
2006-03-17,700,800,500,500,500
2006-03-18,674.074074074,800,500,500,500
2006-03-19,625.925925926,800,500,500,500
2006-03-20,600,800,500,500,500
2006-03-21,600,800,500,500,500
2006-03-22,600,700,500,500,500
2006-03-23,700,700,500,500,500
2006-03-24,700,700,500,500,500
2006-03-25,700,700,500,500,500
2006-03-26,700,700,500,500,500
2006-03-27,700,700,500,500,500
2006-03-28,700,700,500,500,500
2006-03-29,700,700,500,500,500
2006-03-30,700,700,500,500,500
2006-03-31,700,700,500,500,500
2006-04-01,700,700,500,525.925925926,500
2006-04-02,700,700,500,574.074074074,500
2006-04-03,700,700,500,600,500
2006-04-04,700,700,500,600,500
2006-04-05,700,700,500,500,500
2006-04-06,700,700,500,550,500
2006-04-07,700,700,500,600,500
2006-04-08,674.074074074,700,500,600,500
2006-04-09,625.925925926,700,500,600,500
2006-04-10,600,700,500,600,500
2006-04-11,600,700,500,600,500
2006-04-12,600,700,500,600,500
2006-04-13,600,700,500,500,500
2006-04-14,600,700,500,500,500
2006-04-15,600,700,500,500,500
2006-04-16,600,700,500,500,500
2006-04-17,600,700,500,500,500
2006-04-18,600,700,500,500,500
2006-04-19,600,700,500,600,500
2006-04-20,600,700,500,700,500
2006-04-21,600,700,500,700,500
2006-04-22,600,700,500,700,500
2006-04-23,600,700,500,700,500
2006-04-24,600,700,500,700,500
2006-04-25,600,700,500,700,500
2006-04-26,600,700,500,700,500
2006-04-27,600,700,500,500,500
2006-04-28,600,600,500,500,500
2006-04-29,600,600,500,525.925925926,500
2006-04-30,600,600,500,574.074074074,500
2006-05-01,600,600,500,600,500
2006-05-02,600,700,500,600,500
2006-05-03,600,700,500,600,500
2006-05-04,600,700,500,400,500
2006-05-05,600,700,500,400,500
2006-05-06,600,700,500,451.851851852,500
2006-05-07,600,700,500,548.148148148,500
2006-05-08,600,700,500,600,500
2006-05-09,600,700,500,600,500
2006-05-10,600,700,500,600,500
2006-05-11,600,700,500,500,500
2006-05-12,600,700,500,500,500
2006-05-13,600,700,500,500,500
2006-05-14,600,700,500,500,500
2006-05-15,600,700,500,500,500
2006-05-16,600,700,500,500,500
2006-05-17,600,700,500,500,500
2006-05-18,600,700,500,500,500
2006-05-19,600,700,500,600,500
2006-05-20,600,700,500,600,500
2006-05-21,600,700,500,600,500
2006-05-22,600,700,500,600,500
2006-05-23,600,700,500,600,500
2006-05-24,600,700,500,600,500
2006-05-25,600,700,500,600,500
2006-05-26,600,700,500,600,500
2006-05-27,600,700,500,600,500
2006-05-28,600,700,500,600,500
2006-05-29,600,700,500,600,500
2006-05-30,600,700,500,400,500
