cid,date,price
3,2006-01-04,11.0
3,2006-01-05,11.0
3,2006-01-06,9.0
3,2006-01-09,9.0
3,2006-01-10,9.0
3,2006-01-17,9.0
3,2006-01-18,9.0
3,2006-01-19,9.0
3,2006-01-20,9.0
3,2006-01-23,7.0
3,2006-01-27,7.0
3,2006-01-30,7.0
3,2006-01-31,7.0
3,2006-02-01,7.0
3,2006-02-02,7.0
3,2006-02-08,7.0
3,2006-02-10,7.0
3,2006-02-13,6.0
3,2006-02-14,6.0
3,2006-02-20,6.0
3,2006-02-21,6.0
3,2006-02-22,6.0
3,2006-02-23,6.0
3,2006-02-24,6.0
3,2006-03-02,6.0
3,2006-03-03,6.0
3,2006-03-06,6.0
3,2006-03-07,6.0
3,2006-03-08,6.0
3,2006-03-13,6.0
3,2006-03-14,6.0
3,2006-03-16,6.0
3,2006-03-17,6.0
3,2006-03-20,6.0
3,2006-03-24,6.0
3,2006-03-27,6.0
3,2006-03-28,6.0
3,2006-03-29,6.0
3,2006-03-30,6.0
3,2006-04-05,6.0
3,2006-04-07,6.0
3,2006-04-10,6.0
3,2006-04-12,6.0
3,2006-04-13,6.0
3,2006-04-19,6.0
3,2006-04-20,6.0
3,2006-04-21,6.0
3,2006-04-24,6.0
3,2006-04-25,6.0
3,2006-05-01,6.0
3,2006-05-02,6.0
3,2006-05-03,6.0
3,2006-05-04,6.0
3,2006-05-05,6.0
3,2006-05-10,6.0
3,2006-05-11,6.0
3,2006-05-12,6.0
3,2006-05-15,6.0
3,2006-05-16,6.0
3,2006-05-22,6.0
3,2006-05-23,6.0
3,2006-05-24,6.0
3,2006-05-25,6.0
3,2006-05-31,8.0
3,2006-06-01,8.0
3,2006-06-02,6.0
3,2006-06-05,8.0
3,2006-06-06,8.0
3,2006-06-12,8.0
3,2006-06-13,8.0
3,2006-06-14,8.0
3,2006-06-15,8.0
3,2006-06-16,8.0
3,2006-06-21,8.0
3,2006-06-22,8.0
3,2006-06-23,8.0
3,2006-06-26,8.0
3,2006-06-27,8.0
3,2006-07-03,8.0
3,2006-07-04,8.0
3,2006-07-05,8.0
3,2006-07-06,8.0
3,2006-07-07,8.0
3,2006-07-13,6.0
3,2006-07-14,6.0
3,2006-07-17,6.0
3,2006-07-18,6.0
3,2006-07-19,6.0
3,2006-07-24,6.0
3,2006-07-25,6.0
3,2006-07-26,6.0
3,2006-07-27,6.0
3,2006-07-28,6.0
3,2006-08-03,6.0
3,2006-08-04,6.0
3,2006-08-07,6.0
3,2006-08-08,6.0
3,2006-08-09,6.0
3,2006-08-14,6.0
3,2006-08-17,6.0
3,2006-08-18,6.0
3,2006-08-24,6.0
3,2006-08-25,6.0
3,2006-08-28,6.0
3,2006-08-29,6.0
3,2006-09-04,6.0
3,2006-09-05,6.0
3,2006-09-06,6.0
3,2006-09-11,7.0
3,2006-09-12,7.0
3,2006-09-13,7.0
3,2006-09-18,7.0
3,2006-09-19,7.0
3,2006-09-20,7.0
3,2006-09-25,7.0
3,2006-09-26,7.0
3,2006-09-27,7.0
3,2006-10-03,7.0
3,2006-10-04,7.0
3,2006-10-05,7.0
3,2006-10-11,7.0
3,2006-10-12,7.0
3,2006-10-13,7.0
3,2006-10-16,7.0
3,2006-10-18,7.0
3,2006-10-19,7.0
3,2006-10-20,7.0
3,2006-10-27,7.0
3,2006-10-30,7.0
3,2006-10-31,7.0
3,2006-11-03,8.0
3,2006-11-06,8.0
3,2006-11-07,8.0
3,2006-11-10,8.0
3,2006-11-13,8.0
3,2006-11-14,8.0
3,2006-11-20,8.0
3,2006-11-21,8.0
3,2006-11-22,10.0
3,2006-11-27,10.0
3,2006-11-28,10.0
3,2006-11-29,9.0
3,2006-12-04,9.0
3,2006-12-05,9.0
3,2006-12-06,9.0
3,2006-12-07,8.0
3,2006-12-12,8.0
3,2006-12-13,8.0
3,2006-12-14,8.0
3,2006-12-19,8.0
3,2006-12-20,7.0
3,2006-12-21,7.0
3,2006-12-22,7.0
3,2006-12-28,7.0
3,2006-12-29,7.0
3,2007-01-02,7.0
3,2007-01-08,7.0
3,2007-01-09,7.0
3,2007-01-10,7.0
3,2007-01-15,7.0
3,2007-01-16,7.0
