mid,date,arrival,price
11,2008-01-05,4015.0,400.0
11,2008-01-08,312.1,400.0
11,2008-01-09,380.7,400.0
11,2008-01-10,222.4,425.0
11,2008-01-11,445.0,400.0
11,2008-01-12,486.0,400.0
11,2008-01-16,355.4,375.0
11,2008-01-18,386.8,400.0
11,2008-01-19,455.1,400.0
11,2008-01-21,543.5,375.0
11,2008-01-22,545.4,375.0
11,2008-01-23,481.5,375.0
11,2008-01-24,324.0,400.0
11,2008-01-25,373.9,375.0
11,2008-01-28,570.5,375.0
11,2008-01-29,341.1,400.0
11,2008-02-13,351.5,325.0
11,2008-02-14,454.5,350.0
11,2008-02-18,505.2,375.0
11,2008-02-19,309.2,375.0
11,2008-02-20,404.8,350.0
11,2008-02-22,413.6,375.0
11,2008-02-25,506.9,375.0
11,2008-02-28,370.8,400.0
11,2008-03-04,342.4,400.0
11,2008-03-05,415.4,400.0
11,2008-03-07,599.4,450.0
11,2008-03-08,504.4,400.0
11,2008-03-11,389.7,400.0
11,2008-03-12,562.7,400.0
11,2008-03-13,403.8,400.0
11,2008-03-14,458.6,400.0
11,2008-03-15,592.3,400.0
11,2008-03-17,883.0,400.0
11,2008-03-21,330.3,375.0
11,2008-03-24,576.4,350.0
11,2008-03-25,415.4,400.0
11,2008-03-26,406.1,400.0
11,2008-03-27,533.0,375.0
11,2008-03-28,526.2,375.0
11,2008-03-31,1035.7,400.0
11,2008-04-01,396.9,350.0
11,2008-04-02,445.9,350.0
11,2008-04-03,630.8,375.0
11,2008-04-08,1052.6,350.0
11,2008-04-09,606.1,350.0
11,2008-04-10,478.9,350.0
11,2008-04-11,510.6,325.0
11,2008-04-12,429.9,325.0
11,2008-04-15,393.1,300.0
11,2008-04-17,426.6,300.0
11,2008-04-21,522.0,300.0
11,2008-04-23,391.0,300.0
11,2008-04-24,459.2,300.0
11,2008-04-30,460.7,300.0
11,2008-05-07,451.3,250.0
11,2008-05-08,330.5,300.0
11,2008-05-09,414.0,300.0
11,2008-05-10,451.4,300.0
11,2008-05-12,939.0,300.0
11,2008-05-13,939.0,300.0
11,2008-05-19,584.2,250.0
11,2008-05-26,544.5,300.0
11,2008-05-28,357.1,250.0
11,2008-05-29,345.5,300.0
11,2008-05-30,434.7,250.0
11,2008-05-31,437.1,250.0
11,2008-06-02,589.1,300.0
11,2008-06-03,391.2,300.0
11,2008-06-04,390.6,300.0
11,2008-06-05,464.3,300.0
11,2008-06-07,442.9,300.0
11,2008-06-10,258.3,300.0
11,2008-06-11,309.3,300.0
11,2008-06-12,284.3,325.0
11,2008-06-13,311.2,350.0
11,2008-06-14,590.3,350.0
11,2008-06-16,887.9,350.0
11,2008-06-17,384.2,325.0
11,2008-06-18,392.5,300.0
11,2008-06-21,301.4,350.0
11,2008-06-23,459.7,350.0
11,2008-06-25,267.3,350.0
11,2008-06-26,252.9,325.0
11,2008-06-27,422.8,350.0
11,2008-06-30,358.6,350.0
11,2008-07-02,149.8,400.0
11,2008-07-03,258.3,450.0
11,2008-07-05,5274.7,450.0
11,2008-07-07,575.4,425.0
11,2008-07-08,372.3,450.0
11,2008-07-11,422.2,500.0
11,2008-07-12,414.2,500.0
11,2008-07-14,593.3,500.0
11,2008-07-15,279.4,500.0
11,2008-07-16,386.8,500.0
11,2008-07-17,368.6,550.0
11,2008-07-18,337.4,550.0
11,2008-07-19,361.0,590.0
11,2008-07-21,266.4,650.0
11,2008-07-22,288.2,650.0
11,2008-07-25,302.9,650.0
11,2008-07-26,220.4,650.0
11,2008-07-28,30.7,650.0
11,2008-07-30,246.9,650.0
11,2008-07-31,266.0,650.0
11,2008-08-01,345.9,650.0
11,2008-08-04,293.1,650.0
11,2008-08-05,454.2,650.0
11,2008-08-07,256.7,650.0
11,2008-08-09,388.7,650.0
11,2008-08-11,438.8,650.0
11,2008-08-12,95.5,650.0
11,2008-08-15,197.1,650.0
11,2008-08-18,317.8,650.0
11,2008-08-19,334.8,650.0
11,2008-08-21,594.5,650.0
11,2008-08-22,533.2,650.0
11,2008-08-26,195.8,650.0
11,2008-08-28,303.4,650.0
11,2008-08-29,389.1,650.0
11,2008-08-30,402.2,650.0
11,2008-09-01,329.9,650.0
11,2008-09-02,367.9,650.0
11,2008-09-03,446.7,650.0
11,2008-09-05,479.8,600.0
11,2008-09-06,430.1,600.0
11,2008-09-09,401.6,600.0
11,2008-09-11,373.3,500.0
11,2008-09-12,262.5,550.0
11,2008-09-15,316.1,500.0
11,2008-09-16,218.1,550.0
11,2008-09-17,269.4,600.0
11,2008-09-18,333.4,600.0
11,2008-09-19,211.5,550.0
11,2008-09-20,215.9,550.0
11,2008-09-22,681.4,550.0
11,2008-09-23,431.7,600.0
11,2008-09-24,541.8,550.0
